Week,Date_Range,New_Leads,Qualified_Leads,Trials_Started,Clients_Closed,Setup_Revenue_USD,MRR_USD,Total_Revenue_USD,Ad_Spend_USD,CAC_USD,LTV_USD,Gross_Margin_Pct,Conversion_Rate_Pct,Churn_Rate_Pct,Breakeven_Clients,Lead_to_Sale_Rate_Pct,WhatsApp_Reply_Rate_Pct,NPS_Score,Notes
1,2026-05-18 to 2026-05-24,8,3,1,0,0,0,0,15,0,900,0,0,0,4,0,38,0,Week 1: Launched cold DM outreach (50 messages). Ran Experiment 1 pre-sale test. No closed clients yet. Ad spend on Experiment 2 test. First demo booked for Week 2.
2,2026-05-25 to 2026-05-31,12,5,2,1,75,50,125,20,95,900,82,8.3,0,4,8.3,42,72,First client closed (restaurant Pétion-Ville). Setup revenue $75 collected via MonCash. Began automation build. 2 trials in progress. CAC includes 2 weeks of outreach time allocation.
3,2026-06-01 to 2026-06-07,15,6,2,2,150,150,225,25,87,900,84,13.3,0,4,13.3,45,74,Second client closed (boutique Delmas). MRR now $150 (2 clients × $50). Setup revenues received. Automation for client 1 went live — client reported first automated replies working.
4,2026-06-08 to 2026-06-14,18,8,3,1,75,200,275,30,105,900,84,5.6,0,4,5.6,48,75,Third client closed (pharmacy Tabarre). MRR $200 (one client paying $100/month tier). Ad spend increased to test Variant 2. CPL tracking at $6.20. Retargeting campaign launched.
5,2026-06-15 to 2026-06-21,22,9,3,2,150,350,425,35,92,1080,85,9.1,0,4,9.1,51,76,Two clients closed (salon + restaurant). MRR $350. One client upgraded from $50 to $100 tier after seeing Week 3 results. First client NPS collected: 8/10. Breakeven threshold approaching.
6,2026-06-22 to 2026-06-28,25,11,4,2,150,500,575,40,95,1080,86,8,0,4,8,53,78,Two more clients closed. MRR crosses $500 — breakeven achieved this week. CAC stabilizing around $95. Referral from Week 2 client brought in one lead. WhatsApp reply rate improving with refined message templates.
7,2026-06-29 to 2026-07-05,28,12,4,3,225,700,775,45,98,1080,87,10.7,0,4,10.7,55,79,Three clients closed (2 restaurants + 1 boutique). MRR $700. First client community WhatsApp group launched with 6 members. First referral credit issued ($10). Setup revenue strong at $225 from 3 setups.
8,2026-07-06 to 2026-07-12,30,14,5,3,225,950,1025,50,100,1260,87,10,0,4,10,57,80,MRR crosses $950. Three new clients (pharmacy + salon + boutique). First Month 2 renewals confirmed — zero churn so far. NPS rising as clients see real results. One client reported 35% increase in weekend booking confirmations.
9,2026-07-13 to 2026-07-19,32,15,5,3,225,1200,1350,55,102,1260,88,9.4,0,4,9.4,58,81,MRR $1,200 (12 active clients). Three new closures. One client churned (pharmacie closed due to landlord issue — not performance-related). Gross margin improving as platform costs spread across more clients. Lead volume growing from referrals.
10,2026-07-20 to 2026-07-26,35,16,6,3,225,1400,1550,55,103,1260,88,8.6,4.2,4,8.6,59,82,14 active clients. MRR $1,400. Three new clients. Churn 4.2% (1 non-renewal — client said cost too high; offered downgrade to $50 tier, retained). Ad CPL now at $4.80 — below $5 target. Lookalike audience performing well.
11,2026-07-27 to 2026-08-02,38,17,6,3,225,1650,1800,60,104,1440,89,7.9,3.7,4,7.9,61,83,16 active clients. MRR $1,650. Three new clients including first boutique chain (2 locations). One client upgraded to $100 tier. Community group now 12 members. Two referrals generated from community. NPS improving.
12,2026-08-03 to 2026-08-09,40,18,6,3,225,1900,2050,60,105,1440,89,7.5,3.2,4,7.5,62,84,18 active clients. MRR $1,900. Referral program generating 1.5 leads/week organically. Ad spend ROI: $60 spend generated 8 leads and 3 clients this week. First outsourced designer hired (Canva freelancer at $50/month). Operations systematizing.
13,2026-08-10 to 2026-08-16,42,20,7,4,300,2150,2375,65,107,1440,90,9.5,2.8,4,9.5,63,85,20 active clients. MRR $2,150. Four closures — two from referrals (zero ad cost). One client renewed 3-month prepay ($270 received). Lead-to-sale rate improving as brand recognition grows in Pétion-Ville restaurant community. On track for $2,200+ MRR by end of week 14.
14,ACTUAL - Fill in,,,,,,,,,,,,,,,,,,Enter actual data for this week
15,ACTUAL - Fill in,,,,,,,,,,,,,,,,,,Enter actual data for this week
16,ACTUAL - Fill in,,,,,,,,,,,,,,,,,,Enter actual data for this week
17,ACTUAL - Fill in,,,,,,,,,,,,,,,,,,Enter actual data for this week
